date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,21,28,28,26,6,60,76,0.2,1016,26,10,43,4,Calicut
2019-01-01 01:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,21,27,27,25,8,43,76,0.1,1016,25,10,59,5,Calicut
2019-01-01 02:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,27,27,25,9,26,76,0.0,1016,25,10,74,6,Calicut
2019-01-01 03:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,26,26,25,10,9,77,0.0,1016,25,10,89,6,Calicut
2019-01-01 04:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,26,26,24,11,11,75,0.0,1016,24,10,88,7,Calicut
2019-01-01 05:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,19,26,26,24,11,12,74,0.0,1016,24,10,88,7,Calicut
2019-01-01 06:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,19,26,26,24,12,14,72,0.0,1017,24,10,87,8,Calicut
2019-01-01 07:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,19,27,27,26,10,9,68,0.0,1017,26,10,103,7,Calicut
2019-01-01 08:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,19,29,29,27,9,5,64,0.0,1017,27,10,120,7,Calicut
2019-01-01 09:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,19,30,30,28,8,0,60,0.0,1017,28,10,137,6,Calicut
2019-01-01 10:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,19,31,31,29,9,1,57,0.0,1017,29,10,171,7,Calicut
2019-01-01 11:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,32,32,30,9,1,54,0.0,1016,30,10,205,8,Calicut
2019-01-01 12:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,33,33,31,10,2,52,0.0,1016,31,10,240,9,Calicut
2019-01-01 13:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,32,32,30,13,4,54,0.0,1015,30,10,243,11,Calicut
2019-01-01 14:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,32,32,30,16,6,56,0.0,1014,30,10,246,13,Calicut
2019-01-01 15:00:00,31,23,0.0,11.6,7,26,02:34 AM,02:38 PM,06:46 AM,06:15 PM,20,31,31,29,19,8,59,0.0,1014,29,10,249,15,Calicut
